"id","word"
0,"-DOCSTART-"
1,"Following"
2,"is"
3,"a"
4,"weekly"
5,"listing"
6,"of"
7,"unadited"
8,"net"
9,"asset"
10,"values"
11,"of"
12,"publicly"
13,"traded"
14,"investment"
15,"fund"
16,"shares"
17,","
18,"reported"
19,"by"
20,"the"
21,"companies"
22,"as"
23,"of"
24,"Friday"
25,"'s"
26,"close"
27,"."
28,"Also"
29,"shown"
30,"is"
31,"the"
32,"closing"
33,"listed"
34,"market"
35,"price"
36,"or"
37,"a"
38,"dealer-to-dealer"
39,"asked"
40,"price"
41,"of"
42,"each"
43,"fund"
44,"'s"
45,"shares"
46,","
47,"with"
48,"the"
49,"percentage"
50,"of"
51,"difference"
52,"."
53,"Closed"
54,"End"
55,"Bond"
56,"Funds"
57,"Flexible"
58,"Portfolio"
59,"Funds"
60,"Specialized"
61,"Equity"
62,"and"
63,"Convertible"
64,"Funds"
65,"a"
66,"-"
67,"Ex-dividend"
68,"."
69,"b"
70,"-"
71,"As"
72,"of"
73,"Thursday"
74,"'s"
75,"close"
76,"."
77,"c"
78,"-"
79,"Translated"
80,"at"
81,"Commercial"
82,"Rand"
83,"exchange"
84,"rate"
85,"."
86,"e"
87,"-"
88,"In"
89,"Canadian"
90,"dollars"
91,"."
92,"f"
93,"-"
94,"As"
95,"of"
96,"Wednesday"
97,"'s"
98,"close"
99,"."
100,"-DOCSTART-"
101,"A"
102,"shareholder"
103,"filed"
104,"suit"
105,","
106,"seeking"
107,"to"
108,"block"
109,"Unitel"
110,"Video"
111,"Inc."
112,"'s"
113,"proposed"
114,"plan"
115,"to"
116,"be"
117,"acquired"
118,"by"
119,"a"
120,"new"
121,"affiliate"
122,"of"
123,"closely"
124,"held"
125,"Kenmare"
126,"Capital"
127,"Corp."
128,"for"
129,"$"
130,"15"
131,"a"
132,"share"
133,","
134,"or"
135,"$"
136,"33.6"
137,"million"
138,"."
139,"The"
140,"suit"
141,","
142,"which"
143,"seeks"
144,"class-action"
145,"status"
146,","
147,"was"
148,"filed"
149,"in"
150,"Delaware"
151,"Chancery"
152,"Court"
153,"."
154,"The"
155,"complaint"
156,"alleges"
157,"that"
158,"the"
159,"price"
160,"is"
161,"``"
162,"unfair"
163,"and"
164,"grossly"
165,"inadequate"
166,"''"
167,"and"
168,"that"
169,"the"
170,"defendants"
171,"are"
172,"seeking"
173,"to"
174,"ensure"
175,"a"
176,"``"
177,"lockup"
178,"''"
179,"of"
180,"the"
181,"purchase"
182,"of"
183,"Unitel"
184,","
185,"thereby"
186,"discouraging"
187,"other"
188,"bids"
189,"."
190,"It"
191,"seeks"
192,"unspecified"
193,"money"
194,"damages"
195,"."
196,"The"
197,"New"
198,"York"
199,"company"
200,"called"
201,"the"
202,"lawsuit"
203,"without"
204,"merit"
205,"."
206,"Shareholders"
207,"are"
208,"scheduled"
209,"to"
210,"vote"
211,"on"
212,"the"
213,"transaction"
214,"Nov"
215,"."
216,"-DOCSTART-"
217,"This"
218,"Toronto"
219,"closed-end"
220,"fund"
221,"cut"
222,"the"
223,"annual"
224,"dividend"
225,"on"
226,"its"
227,"Class"
228,"A"
229,"common"
230,"shares"
231,"to"
232,"one"
233,"Canadian"
234,"cent"
235,"from"
236,"10"
237,"Canadian"
238,"cents"
239,"."
240,"The"
241,"fund"
242,"invests"
243,"mainly"
244,"in"
245,"gold"
246,"and"
247,"silver"
248,"bullion"
249,"."
250,"It"
251,"said"
252,"the"
253,"reduced"
254,"dividend"
255,"reflects"
256,"the"
257,"low"
258,"price"
259,"for"
260,"precious"
261,"metals"
262,"."
263,"Greg"
264,"Davies"
265,","
266,"Central"
267,"Fund"
268,"'s"
269,"vice"
270,"president"
271,","
272,"finance"
273,","
274,"said"
275,"losses"
276,"for"
277,"the"
278,"fiscal"
279,"year"
280,"ending"
281,"Oct."
282,"31"
283,"could"
284,"be"
285,"as"
286,"high"
287,"as"
288,"one"
289,"million"
290,"Canadian"
291,"dollars"
292,"("
293,"US$"
294,"852,000"
295,")"
296,"."
297,"The"
298,"fund"
299,"last"
300,"had"
301,"a"
302,"profit"
303,"in"
304,"1985"
305,"."
306,"The"
307,"new"
308,"dividend"
309,"rate"
310,"is"
311,"payable"
312,"Nov."
313,"15"
314,"to"
315,"holders"
316,"of"
317,"record"
318,"Oct."
319,"31"
320,"."
321,"In"
322,"American"
323,"Stock"
324,"Exchange"
325,"composite"
326,"trading"
327,"Friday"
328,","
329,"Central"
330,"Fund"
331,"was"
332,"unchanged"
333,"at"
334,"$"
335,"4.6875"
336,"a"
337,"share"
338,"."
339,"-DOCSTART-"
340,"Comair"
341,"Holdings"
342,"Inc."
343,"said"
344,"in"
345,"Cincinnati"
346,"that"
347,"it"
348,"bought"
349,"Airline"
350,"Aviation"
351,"Academy"
352,","
353,"a"
354,"pilot"
355,"training"
356,"school"
357,"based"
358,"at"
359,"Sanford"
360,"Regional"
361,"Airport"
362,"near"
363,"Orlando"
364,","
365,"Fla"
366,"."
367,"Comair"
368,"said"
369,"it"
370,"paid"
371,"cash"
372,"but"
373,"declined"
374,"to"
375,"disclose"
376,"the"
377,"price"
378,"."
379,"Comair"
380,"Holdings"
381,"is"
382,"the"
383,"parent"
384,"of"
385,"Comair"
386,"Inc."
387,","
388,"a"
389,"regional"
390,"air"
391,"carrier"
392,"."
393,"Airline"
394,"Aviation"
395,","
396,"which"
397,"has"
398,"annual"
399,"revenue"
400,"of"
401,"$"
402,"5"
403,"million"
404,"to"
405,"$"
406,"6"
407,"million"
408,","
409,"has"
410,"great"
411,"growth"
412,"potential"
413,"because"
414,"of"
415,"the"
416,"large"
417,"number"
418,"of"
419,"U.S."
420,"pilots"
